Wall time,Step,Value
1713968045.872383,201,30.790117263793945
1713968106.065223,402,31.23024559020996
1713968166.257644,603,32.26764678955078
1713968226.612994,804,26.748981475830078
1713968287.077861,1005,27.234920501708984
1713968347.676809,1206,26.226673126220703
1713968408.190756,1407,26.220062255859375
1713968468.600709,1608,26.198366165161133
1713968559.240587,1809,28.06079864501953
1713968619.701227,2010,29.064565658569336
1713968679.959968,2211,31.73077964782715
1713968740.385166,2412,26.211454391479492
1713968800.681372,2613,32.91902160644531
1713968860.906888,2814,27.24915313720703
1713968921.146923,3015,26.494169235229492
1713969011.263839,3216,32.09626388549805
1713969071.648877,3417,31.032516479492188
1713969131.94538,3618,31.28706932067871
1713969192.132261,3819,37.393104553222656
1713969252.665867,4020,26.2530460357666
1713969312.752778,4221,27.62905502319336
1713969373.243198,4422,31.788021087646484
1713969433.325009,4623,28.976335525512695
1713969493.606614,4824,31.249713897705078
1713969584.094149,5025,31.104827880859375
1713969644.385026,5226,30.364614486694336
1713969704.780355,5427,26.696290969848633
1713969765.247526,5628,32.244808197021484
1713969825.624071,5829,24.53395652770996
1713969885.674221,6030,30.734468460083008
1713969946.152223,6231,29.285707473754883
1713970006.552067,6432,29.203351974487305
1713970097.125654,6633,27.770341873168945
1713970157.487799,6834,33.72401428222656
1713970217.68563,7035,31.34137535095215
1713970278.191703,7236,27.25756072998047
1713970338.561117,7437,26.301054000854492
1713970399.070218,7638,31.034475326538086
1713970489.37166,7839,36.695289611816406
1713970549.805177,8040,37.01387023925781
1713970610.397035,8241,33.5244140625
1713970670.820219,8442,28.154970169067383
1713970731.212237,8643,30.822219848632812
1713970791.59447,8844,32.927833557128906
1713970851.902695,9045,25.515268325805664
1713970942.403426,9246,39.01708984375
1713971002.854393,9447,25.833913803100586
1713971063.107688,9648,30.52168846130371
1713971123.492365,9849,34.56795120239258
1713971183.747774,10050,31.536794662475586
1713971244.205778,10251,27.820180892944336
1713971304.319492,10452,33.868831634521484
1713971364.756501,10653,33.78084945678711
1713971454.990901,10854,31.739990234375
1713971515.293413,11055,28.156057357788086
1713971575.82869,11256,30.594131469726562
1713971636.087462,11457,30.652299880981445
1713971696.543817,11658,33.75265884399414
1713971756.73075,11859,29.26518440246582
1713971816.901033,12060,25.83010482788086
1713971877.320466,12261,32.026710510253906
1713971967.934547,12462,33.758243560791016
1713972028.206558,12663,25.45623779296875
1713972088.522798,12864,29.06644630432129
1713972148.888055,13065,32.562583923339844
1713972209.178935,13266,34.80730438232422
1713972269.443095,13467,32.3357048034668
1713972330.024185,13668,42.35918045043945
1713972390.134552,13869,28.569398880004883
1713972450.630869,14070,43.70481872558594
1713972511.004393,14271,31.62091827392578
1713972571.205524,14472,28.91143798828125
1713972661.72974,14673,33.62129211425781
1713972721.842708,14874,28.88407325744629
1713972782.137426,15075,42.33737564086914
1713972842.520375,15276,41.86445236206055
1713972902.767417,15477,31.244993209838867
1713972963.169931,15678,41.0555419921875
1713973023.450901,15879,40.74920654296875
1713973114.137532,16080,38.349090576171875
1713973174.32788,16281,26.425559997558594
1713973234.413286,16482,47.842498779296875
1713973294.821516,16683,44.33496856689453
1713973355.176991,16884,51.48162841796875
1713973415.313092,17085,39.88313293457031
1713973475.651161,17286,35.613616943359375
1713973535.764626,17487,48.64868927001953
1713973626.448734,17688,48.82526779174805
1713973686.763024,17889,54.52033233642578
1713973746.844424,18090,41.83498764038086
1713973806.993217,18291,26.203977584838867
1713973867.141691,18492,46.7624626159668
1713973927.45187,18693,46.11741638183594
1713974017.739046,18894,49.632938385009766
1713974078.017707,19095,50.85529708862305
1713974138.400869,19296,52.66450881958008
1713974198.680852,19497,50.318641662597656
1713974258.934892,19698,46.101985931396484
1713974319.384066,19899,37.16948318481445
1713974379.564433,20100,52.39324188232422
1713974439.941084,20301,33.27903366088867
1713974500.194996,20502,28.72516441345215
1713974590.406834,20703,47.549861907958984
1713974650.759902,20904,30.59586524963379
1713974711.013082,21105,38.89241027832031
1713974771.152079,21306,38.955928802490234
1713974831.356385,21507,48.82569122314453
1713974891.758123,21708,37.5721321105957
1713974952.185809,21909,26.20492935180664
1713975012.612265,22110,26.693078994750977
1713975072.804185,22311,40.47315979003906
1713975163.27421,22512,26.223861694335938
1713975223.353313,22713,39.0882453918457
1713975283.511327,22914,37.312294006347656
1713975374.251462,23115,36.166900634765625
1713975434.48144,23316,27.89619255065918
1713975494.568695,23517,26.615320205688477
1713975554.948314,23718,45.190128326416016
1713975645.178575,23919,48.220218658447266
1713975705.627328,24120,35.36921310424805
1713975765.863521,24321,41.33966064453125
1713975826.283956,24522,38.952842712402344
1713975916.561905,24723,50.43242263793945
1713975976.892528,24924,33.574337005615234
1713976037.016128,25125,44.86118698120117
1713976097.56588,25326,33.35139083862305
1713976157.862445,25527,37.532833099365234
1713976248.647123,25728,40.65876770019531
1713976309.130191,25929,51.047489166259766
1713976369.323977,26130,44.013118743896484
1713976429.555802,26331,35.707420349121094
1713976520.156401,26532,50.47121810913086
1713976580.222353,26733,46.649925231933594
1713976640.657464,26934,49.51836395263672
1713976700.854544,27135,47.50578308105469
1713976760.839707,27336,50.451080322265625
1713976851.347374,27537,49.063053131103516
1713976911.792933,27738,36.140689849853516
1713976972.128845,27939,31.669506072998047
1713977032.386015,28140,37.63386917114258
1713977092.768503,28341,46.77827835083008
1713977152.859916,28542,30.93535804748535
1713977213.387996,28743,32.07193374633789
1713977303.957868,28944,33.13187789916992
1713977364.337419,29145,32.82277297973633
1713977424.639865,29346,31.436100006103516
1713977484.761257,29547,39.02092742919922
1713977544.814947,29748,26.239585876464844
1713977605.326658,29949,44.341732025146484
1713977665.887571,30150,41.01780319213867
1713977726.41503,30351,42.75481033325195
1713977786.551038,30552,38.466033935546875
1713977847.035108,30753,22.259754180908203
1713977907.425062,30954,36.955909729003906
