Wall time,Step,Value
1714166616.739225,201,-46.26885223388672
1714166677.158937,402,-91.22966003417969
1714166737.36622,603,-64.23323822021484
1714166797.667135,804,-65.0
1714166858.110312,1005,-72.50000762939453
1714166918.655338,1206,-73.75
1714166979.090988,1407,-40.000003814697266
1714167069.445511,1608,-125.74795532226562
1714167129.791946,1809,-54.51551818847656
1714167189.945836,2010,-107.42884826660156
1714167250.374208,2211,-73.35224914550781
1714167310.497021,2412,-51.250003814697266
1714167370.768781,2613,-164.5286102294922
1714167461.243628,2814,-46.25000762939453
1714167522.345668,3015,-45.0
1714167582.691607,3216,-50.00000762939453
1714167643.086522,3417,-112.56072235107422
1714167703.310739,3618,-97.25032806396484
1714167763.456648,3819,-72.5
1714167853.736397,4020,-42.500003814697266
1714167914.057363,4221,-50.00000762939453
1714167974.198527,4422,-56.25000762939453
1714168034.302767,4623,-53.75000762939453
1714168094.666166,4824,-73.75000762939453
1714168155.104315,5025,-55.00000762939453
1714168215.609381,5226,-63.75
1714168306.30189,5427,-70.0
1714168366.548495,5628,-42.50000762939453
1714168426.685102,5829,-143.54261779785156
1714168487.118172,6030,-37.500003814697266
1714168547.425607,6231,-67.5
1714168607.573253,6432,-38.75
1714168667.6579,6633,-75.83070373535156
1714168728.136973,6834,-112.48603057861328
1714168788.324378,7035,-97.97665405273438
1714168848.703402,7236,-70.0
1714168908.904417,7437,-156.8162841796875
1714168969.018511,7638,-151.75186157226562
1714169029.219516,7839,-109.72816467285156
1714169089.710465,8040,-70.0
1714169149.844706,8241,-63.631202697753906
1714169210.096114,8442,-60.000003814697266
1714169270.220331,8643,-61.367591857910156
1714169330.528933,8844,-57.174766540527344
1714169390.874341,9045,-68.75
1714169451.103236,9246,-45.000328063964844
1714169511.254206,9447,-69.87350463867188
1714169571.454908,9648,-75.0227279663086
1714169631.562954,9849,-67.51530456542969
1714169692.092139,10050,-51.250003814697266
1714169752.248558,10251,-66.74134063720703
1714169812.76886,10452,-87.20189666748047
1714169873.278958,10653,-47.47191619873047
1714169933.665128,10854,-67.5
1714169993.818233,11055,-64.99420928955078
1714170054.257312,11256,-73.87029266357422
1714170114.494058,11457,-67.5
1714170174.836495,11658,-56.25000762939453
1714170265.260585,11859,-43.750003814697266
1714170325.432182,12060,-75.88214111328125
1714170385.809543,12261,-61.25
1714170446.205337,12462,-79.6026840209961
1714170506.376902,12663,-110.56806182861328
1714170566.85109,12864,-62.5
1714170627.030263,13065,-100.50636291503906
1714170687.129694,13266,-51.250003814697266
1714170747.342055,13467,-47.500003814697266
1714170807.350098,13668,-48.750003814697266
1714170867.770395,13869,-42.50000762939453
1714170928.050868,14070,-60.198123931884766
1714170988.493367,14271,-47.500003814697266
1714171048.639327,14472,-45.00000762939453
1714171108.978497,14673,-73.52062225341797
1714171169.29214,14874,-75.99930572509766
1714171229.642081,15075,-44.562923431396484
1714171290.104999,15276,-80.62461853027344
1714171350.294547,15477,-207.41595458984375
1714171410.740934,15678,-51.2500114440918
1714171471.111732,15879,-56.25000762939453
1714171531.430054,16080,-56.25000762939453
1714171591.616278,16281,-73.74999237060547
1714171652.019565,16482,-75.5983657836914
1714171712.403938,16683,-65.23504638671875
1714171772.706103,16884,-56.25000762939453
1714171832.912856,17085,-71.24999237060547
1714171893.05383,17286,-76.83643341064453
1714171953.1424,17487,-43.750003814697266
1714172013.182568,17688,-65.00000762939453
1714172073.530397,17889,-43.750003814697266
1714172133.799748,18090,-55.0
1714172194.222891,18291,-63.75
1714172254.493858,18492,-48.750003814697266
1714172314.789062,18693,-60.642364501953125
1714172374.993581,18894,-164.87286376953125
1714172435.297347,19095,-67.5
1714172495.60376,19296,-66.25000762939453
1714172555.824835,19497,-41.250003814697266
1714172616.117296,19698,-65.0
1714172676.376903,19899,-120.30601501464844
1714172736.525574,20100,-57.34775924682617
1714172827.122344,20301,-63.75
1714172857.126716,20502,-37.50000762939453
1714172947.618583,20703,-57.5
1714173007.809146,20904,-57.5
1714173068.060779,21105,-75.02914428710938
1714173128.36704,21306,-122.05937957763672
1714173188.697498,21507,-41.250003814697266
1714173249.180823,21708,-92.60763549804688
1714173309.474667,21909,-100.69713592529297
1714173369.931093,22110,-118.83316040039062
1714173430.048776,22311,-62.50000762939453
1714173490.178798,22512,-71.25
1714173550.37249,22713,-63.75
1714173610.567441,22914,-52.500003814697266
1714173671.031648,23115,-56.25000762939453
1714173731.298646,23316,-37.5
1714173791.715145,23517,-47.500003814697266
1714173851.760852,23718,-67.10324096679688
1714173912.092131,23919,-57.5
1714173972.450056,24120,-106.34325408935547
1714174032.66941,24321,-95.28382110595703
1714174092.779978,24522,-102.54683685302734
1714174153.377404,24723,-79.45309448242188
1714174213.566644,24924,-108.5133285522461
1714174273.82838,25125,-111.31327819824219
1714174334.034774,25326,-46.99428176879883
1714174394.233593,25527,-73.74999237060547
1714174454.402886,25728,-53.634918212890625
1714174544.817828,25929,-65.0
1714174605.069678,26130,-69.47772216796875
1714174665.445739,26331,-71.16357421875
1714174725.706189,26532,-63.750003814697266
1714174786.253653,26733,-74.90103149414062
1714174846.645496,26934,-68.30999755859375
1714174906.788194,27135,-123.69866180419922
1714174967.222063,27336,-125.26415252685547
1714175027.697927,27537,-110.2530288696289
1714175087.770035,27738,-58.750003814697266
1714175147.941004,27939,-66.25000762939453
1714175208.481153,28140,-113.48621368408203
1714175268.781166,28341,-67.15966796875
1714175329.09639,28542,-122.92782592773438
1714175389.56269,28743,-62.99489974975586
1714175449.758314,28944,-67.37191772460938
1714175510.056588,29145,-66.61421203613281
1714175570.251109,29346,-71.12899017333984
1714175630.542815,29547,-64.1752700805664
1714175690.874911,29748,-40.000003814697266
1714175750.945199,29949,-90.78270721435547
1714175811.348321,30150,-111.90545654296875
1714175871.513409,30351,-170.55654907226562
1714175931.870612,30552,-140.8601531982422
1714176022.344485,30753,-89.7531967163086
1714176082.794932,30954,-142.88671875
1714176143.290435,31155,-115.44165802001953
1714176203.387006,31356,-71.76768493652344
1714176263.614771,31557,-73.04962158203125
1714176323.912607,31758,-52.500003814697266
1714176384.280166,31959,-152.90182495117188
1714176444.424818,32160,-150.8671417236328
1714176504.854257,32361,-140.94558715820312
1714176565.198956,32562,-70.00614929199219
1714176626.09375,32763,-74.6466293334961
1714176686.475119,32964,-97.65116882324219
1714176746.831736,33165,-147.76475524902344
1714176807.128997,33366,-196.7019805908203
1714176867.415488,33567,-102.84400939941406
1714176927.67808,33768,-163.7974395751953
1714177017.967171,33969,-50.51683807373047
1714177078.255657,34170,-68.75000762939453
1714177138.763456,34371,-46.25000762939453
1714177199.085581,34572,-63.3983268737793
1714177259.63673,34773,-220.85560607910156
1714177319.816152,34974,-77.58709716796875
1714177380.197199,35175,-145.98284912109375
1714177440.704061,35376,-156.62680053710938
1714177501.050495,35577,-192.53175354003906
1714177561.268609,35778,-177.81922912597656
1714177621.514487,35979,-50.0
1714177681.800466,36180,-125.23381805419922
1714177742.06008,36381,-157.76962280273438
1714177802.397489,36582,-79.44476318359375
1714177862.46046,36783,-91.83546447753906
1714177922.770705,36984,-80.38519287109375
1714177983.21767,37185,-72.41749572753906
1714178043.428415,37386,-234.5780792236328
1714178103.901354,37587,-154.55836486816406
1714178164.308475,37788,-71.58479309082031
1714178224.618814,37989,-208.56031799316406
1714178284.876424,38190,-66.25000762939453
1714178345.304705,38391,-236.6573486328125
1714178405.520646,38592,-197.1294708251953
1714178465.694192,38793,-75.0
1714178526.231101,38994,-71.29241180419922
1714178586.52921,39195,-98.10982513427734
1714178646.790606,39396,-191.01512145996094
1714178737.468889,39597,-108.45143127441406
1714178797.947074,39798,-213.95126342773438
1714178858.327549,39999,-74.81446075439453
1714178918.49529,40200,-143.89395141601562
1714178978.821235,40401,-173.5303955078125
1714179038.964523,40602,-225.47457885742188
1714179099.160342,40803,-63.77431106567383
1714179159.629835,41004,-89.24311828613281
1714179220.104387,41205,-58.750003814697266
1714179280.41932,41406,-218.0719451904297
1714179340.890989,41607,-164.92822265625
1714179401.309979,41808,-48.371910095214844
1714179461.460182,42009,-138.14578247070312
1714179521.95063,42210,-65.0
1714179582.316222,42411,-95.47053527832031
1714179642.580228,42612,-107.88236999511719
1714179702.904531,42813,-94.01118469238281
1714179763.176101,43014,-93.03832244873047
1714179823.504632,43215,-125.12754821777344
1714179883.964875,43416,-186.08689880371094
1714179944.383302,43617,-92.5330810546875
1714180004.567878,43818,-100.2254409790039
1714180064.821991,44019,-66.04698181152344
1714180155.084166,44220,-117.75952911376953
1714180215.283463,44421,-65.8138656616211
1714180275.338441,44622,-100.04753875732422
1714180337.173886,44823,-59.02916717529297
1714180397.6459,45024,-118.94143676757812
1714180457.931515,45225,-193.68128967285156
1714180518.402848,45426,-139.17555236816406
1714180578.549015,45627,-113.05487823486328
1714180638.874076,45828,-85.93742370605469
1714180699.392992,46029,-96.56392669677734
1714180759.459543,46230,-69.11368560791016
1714180819.619631,46431,-109.53667449951172
1714180880.113475,46632,-146.94076538085938
1714180940.618862,46833,-73.4221420288086
1714181000.985297,47034,-103.04937744140625
1714181061.175712,47235,-112.9047622680664
1714181121.529365,47436,-162.2801513671875
1714181181.546501,47637,-124.73643493652344
1714181241.894974,47838,-74.18170166015625
1714181302.308679,48039,-102.73295593261719
1714181362.52059,48240,-39.76097106933594
1714181452.613906,48441,-170.16091918945312
1714181513.011205,48642,-104.37188720703125
1714181573.465381,48843,-76.85693359375
1714181633.905885,49044,-70.0
1714181694.304284,49245,-67.32173919677734
1714181754.834739,49446,-66.25000762939453
1714181815.08019,49647,-121.83617401123047
1714181875.514315,49848,-97.53057098388672
1714181935.551656,50049,-104.35387420654297
1714181995.76163,50250,-96.94475555419922
1714182056.106042,50451,-75.91539764404297
1714182116.517799,50652,-77.8634262084961
1714182176.83227,50853,-129.11167907714844
1714182237.067338,51054,-58.71504592895508
1714182297.411279,51255,-107.04814147949219
1714182357.874299,51456,-52.9161376953125
1714182418.26714,51657,-61.529544830322266
1714182478.537868,51858,-129.92002868652344
1714182538.816492,52059,-96.29947662353516
1714182599.166282,52260,-83.89532470703125
1714182659.580334,52461,-76.46725463867188
1714182719.7083,52662,-42.61719512939453
1714182780.071518,52863,-55.7733039855957
1714182840.24912,53064,-123.26087188720703
1714182900.445265,53265,-117.99784851074219
1714182960.711483,53466,-100.9684066772461
1714183021.066412,53667,-231.8226318359375
1714183111.438341,53868,-115.1756591796875
1714183171.5493,54069,-99.92969512939453
1714183231.686977,54270,-120.64299011230469
1714183292.054849,54471,-45.069034576416016
1714183352.272366,54672,-136.42286682128906
1714183412.598618,54873,-172.4639892578125
1714183473.027512,55074,-64.70763397216797
1714183533.313314,55275,-83.11734008789062
1714183593.606487,55476,-107.64252471923828
1714183653.784613,55677,-93.41839599609375
1714183714.320597,55878,-141.904541015625
1714183774.586028,56079,-108.54571533203125
1714183835.01815,56280,-124.35443115234375
1714183895.186268,56481,-178.195068359375
1714183955.287233,56682,-168.06350708007812
