Wall time,Step,Value
1714070405.311277,201,-28.531904220581055
1714070435.560211,402,-9.90916633605957
1714070495.887594,603,-10.017806053161621
1714070556.231779,804,-46.191463470458984
1714070616.475358,1005,-9.90916633605957
1714070676.991032,1206,-9.90916633605957
1714070737.496958,1407,-9.605469703674316
1714070798.007163,1608,-8.835728645324707
1714070828.013821,1809,-9.90916633605957
1714070888.543566,2010,-9.90916633605957
1714070948.802503,2211,-9.90916633605957
1714071009.329981,2412,-9.863818168640137
1714071069.752002,2613,-9.90916633605957
1714071129.826227,2814,-9.90916633605957
